,weight,threhold
Abies,1,0.5
Acer,1,0.5
Ailanthus,1,0.5
Alnus,1,0.5
Apiaceae,1,0.5
Araliaceae,1,0.5
Artemisia,1,0.5
Asteraceae,1,0.5
Berberidaceae,1,0.5
Betula,1,0.5
Campanulaceae,1,0.5
Caprifoliaceae,1,0.5
Carpinus,1,0.5
Caryophyllaceae,1,0.5
Castanea,1,0.5
Celtis,1,0.5
Chenopodiaceae,1,0.5
Convolvulaceae,1,0.5
Corylus,1,0.5
Cotinus,1,0.5
Crassulaceae,1,0.5
Cruciferae,1,0.5
Cyperaceae,1,0.5
Ephedra,1,0.5
Euptelea,1,0.5
Fraxinus,1,0.5
Gentianaceae,1,0.5
Geraniaceae,1,0.5
Hippophae,1,0.5
Humulus,1,0.5
Juglans,1,0.5
Labiatae,1,0.5
Larix,1,0.5
Leguminosae,1,0.5
Liliaceae,1,0.5
Moraceae,1,0.5
Nitraria,1,0.5
Oleaceae,1,0.5
Ostryopsis,1,0.5
Picea,1,0.5
Pinus,0.5,5
Plantaginaceae,1,0.5
Poaceae,1,0.5
Polygala,1,0.5
Polygonum,1,0.5
Populus,1,0.5
Primulaceae,1,0.5
Pteroceltis,1,0.5
Pyrolaceae,1,0.5
Quercus,1,0.5
Ranunculaceae,1,0.5
Rhamnaceae,1,0.5
Rhus,1,0.5
Rosaceae,1,0.5
Rubiaceae,1,0.5
Rutaceae,1,0.5
Salix,1,0.5
Sanguisorba,1,0.5
Scrophulariaceae,1,0.5
Solanaceae,1,0.5
Stellera,1,0.5
Syringa,1,0.5
Tamarix,1,0.5
Thalictrum,1,0.5
Tilia,1,0.5
Tsuga,1,0.5
Ulmus,1,0.5
Urtica,1,0.5
Valerianaceae,1,0.5
Verbenaceae,1,0.5
